sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5
C50b-C50p-C3,43681,-0.06962355554745339,0.069359306923389,0.005499862077565144,0.0,0.0
C50b/C50p-C3-C50f-C3bm-C3dt,43682,-0.06507533513949157,0.06526193660488724,-0.005816297682776554,0.0,0.0
C42a/C1-C42.2-C1b-C1j-C1au,43626,-0.030403892777938726,-0.09012764498737735,-0.0009609076505216718,0.0,0.0
C42.2/C1-C1b-C1au,43573,-0.02161142796462067,-0.07029062725076281,0.0012638436669505102,0.0,0.0
C15-C15dq-C15dr-C15ch,43731,0.18671421142950417,0.025797028709863976,1.3499588780841807e-05,0.0,0.0
proportion_explained,0.0,0.6647337608401515,0.33428974216192614,0.000976496997922419,0.0,0.0
