Sample_ID,Full,Type,Specific,Season,Site,Replicate,Water,Reseq_pairs,Culture_clade,Culture_genus,Sequenced_clade,Sequenced_genus,Match_expected,Heron_study,Symbiodinium_network,Durusdinium_network,Fugacium_network
68_ITS2,Heron_2016_Coral (Montipora)_site 2_b,Host,Montipora digitata,Summer,Site_2,B,Tropical,x,x,x,x,x,x,y,y,y,y
69_ITS2,Heron_2016_Coral (Montipora)_site 2_c,Host,Montipora digitata,Summer,Site_2,C,Tropical,x,x,x,x,x,x,y,y,y,y
70_ITS2,Heron_2016_Coral (Montipora)_site 2_d,Host,Montipora digitata,Summer,Site_2,D,Tropical,x,x,x,x,x,x,y,y,y,y
71_ITS2,Heron_2016_Coral (Pocillopora)_site 3_a,Host,Pocillopora damicornis,Summer,Site_3,A,Tropical,x,x,x,x,x,x,y,y,y,y
72_ITS2,Heron_2016_Coral (Pocillopora)_site 3_b,Host,Pocillopora damicornis,Summer,Site_3,B,Tropical,x,x,x,x,x,x,y,y,y,y
73_ITS2,Heron_2016_Coral (Pocillopora)_site 3_c,Host,Pocillopora damicornis,Summer,Site_3,C,Tropical,x,x,x,x,x,x,y,y,y,y
74_ITS2,Heron_2016_Coral (Pocillopora)_site 3_d,Host,Pocillopora damicornis,Summer,Site_3,D,Tropical,x,x,x,x,x,x,y,y,y,y
32_ITS2,Heron_2016_Macroalgae (Padina)_site 1_a,Environment,Macroalgae,Summer,Site_1,A,Tropical,x,x,x,x,x,x,y,y,y,y
33_ITS2,Heron_2016_Macroalgae (Padina)_site 1_b,Environment,Macroalgae,Summer,Site_1,B,Tropical,x,x,x,x,x,x,y,y,y,y
161_ITS2,Heron_2016_Macroalgae (Padina)_site 1_c,Environment,Macroalgae,Summer,Site_1,C,Tropical,B,x,x,x,x,x,n,y,y,y
161_ITS2Re,Heron_2016_Macroalgae (Padina)_site 1_c,Environment,Macroalgae,Summer,Site_1,C,Tropical,B,x,x,x,x,x,y,y,y,y
162_ITS2,Heron_2016_Macroalgae (Padina)_site 1_d,Environment,Macroalgae,Summer,Site_1,D,Tropical,x,x,x,x,x,x,y,y,y,y
163_ITS2,Heron_2016_Macroalgae (Padina)_site 2_a,Environment,Macroalgae,Summer,Site_2,A,Tropical,x,x,x,x,x,x,y,y,y,y
164_ITS2,Heron_2016_Macroalgae (Padina)_site 2_b,Environment,Macroalgae,Summer,Site_2,B,Tropical,x,x,x,x,x,x,y,y,y,y
165_ITS2,Heron_2016_Macroalgae (Padina)_site 2_c,Environment,Macroalgae,Summer,Site_2,C,Tropical,x,x,x,x,x,x,y,y,y,y
166_ITS2,Heron_2016_Macroalgae (Padina)_site 2_d,Environment,Macroalgae,Summer,Site_2,D,Tropical,x,x,x,x,x,x,y,y,y,y
167_ITS2,Heron_2016_Macroalgae (Padina)_site 3_a,Environment,Macroalgae,Summer,Site_3,A,Tropical,x,x,x,x,x,x,y,y,y,y
