Sample_ID,Full,Type,Specific,Season,Site,Replicate,Water,Reseq_pairs,Culture_clade,Culture_genus,Sequenced_clade,Sequenced_genus,Match_expected,Heron_study,Symbiodinium_network,Durusdinium_network,Fugacium_network
105_ITS2,Sydney_2016_Coral (Plesiastrea)_site 3_d,Host,Plesiastrea versipora,Bleaching,Site_3,D,Temperate,x,x,x,x,x,x,n,n,n,n
49_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 1_a,Environment,Macroalgae,Bleaching,Site_1,A,Temperate,x,x,x,x,x,x,n,n,n,n
50_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 1_b,Environment,Macroalgae,Bleaching,Site_1,B,Temperate,x,x,x,x,x,x,n,n,n,n
218_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 1_c,Environment,Macroalgae,Bleaching,Site_1,C,Temperate,I,x,x,x,x,x,n,n,n,n
218_ITS2Re,Sydney_2016_Macroalgae (Ecklonia)_site 1_c,Environment,Macroalgae,Bleaching,Site_1,C,Temperate,I,x,x,x,x,x,n,n,n,n
219_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 1_d,Environment,Macroalgae,Bleaching,Site_1,D,Temperate,J,x,x,x,x,x,n,n,n,n
219_ITS2Re,Sydney_2016_Macroalgae (Ecklonia)_site 1_d,Environment,Macroalgae,Bleaching,Site_1,D,Temperate,J,x,x,x,x,x,n,n,n,n
220_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 2_a,Environment,Macroalgae,Bleaching,Site_2,A,Temperate,x,x,x,x,x,x,n,n,n,n
221_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 2_b,Environment,Macroalgae,Bleaching,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
221_ITS2Re,Sydney_2016_Macroalgae (Ecklonia)_site 2_b,Environment,Macroalgae,Bleaching,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
222_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 2_c,Environment,Macroalgae,Bleaching,Site_2,C,Temperate,x,x,x,x,x,x,n,n,n,n
223_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 2_d,Environment,Macroalgae,Bleaching,Site_2,D,Temperate,x,x,x,x,x,x,n,n,n,n
223_ITS2Re,Sydney_2016_Macroalgae (Ecklonia)_site 2_d,Environment,Macroalgae,Bleaching,Site_2,D,Temperate,x,x,x,x,x,x,n,n,n,n
224_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 3_a,Environment,Macroalgae,Bleaching,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
224_ITS2Re,Sydney_2016_Macroalgae (Ecklonia)_site 3_a,Environment,Macroalgae,Bleaching,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
225_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 3_b,Environment,Macroalgae,Bleaching,Site_3,B,Temperate,K,x,x,x,x,x,n,n,n,n
225_ITS2Re,Sydney_2016_Macroalgae (Ecklonia)_site 3_b,Environment,Macroalgae,Bleaching,Site_3,B,Temperate,K,x,x,x,x,x,n,n,n,n
226_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 3_c,Environment,Macroalgae,Bleaching,Site_3,C,Temperate,L,x,x,x,x,x,n,n,n,n
226_ITS2Re,Sydney_2016_Macroalgae (Ecklonia)_site 3_c,Environment,Macroalgae,Bleaching,Site_3,C,Temperate,L,x,x,x,x,x,n,n,n,n
227_ITS2,Sydney_2016_Macroalgae (Ecklonia)_site 3_d,Environment,Macroalgae,Bleaching,Site_3,D,Temperate,M,x,x,x,x,x,n,n,n,n
227_ITS2Re,Sydney_2016_Macroalgae (Ecklonia)_site 3_d,Environment,Macroalgae,Bleaching,Site_3,D,Temperate,M,x,x,x,x,x,n,n,n,n
47_ITS2,Sydney_2016_Sediment_site 1_a,Environment,Sediment,Bleaching,Site_1,A,Temperate,x,x,x,x,x,x,n,n,n,n
48_ITS2,Sydney_2016_Sediment_site 1_b,Environment,Sediment,Bleaching,Site_1,B,Temperate,x,x,x,x,x,x,n,n,n,n
208_ITS2,Sydney_2016_Sediment_site 1_c,Environment,Sediment,Bleaching,Site_1,C,Temperate,x,x,x,x,x,x,n,n,n,n
209_ITS2,Sydney_2016_Sediment_site 1_d,Environment,Sediment,Bleaching,Site_1,D,Temperate,G,x,x,x,x,x,n,n,n,n
209_ITS2Re,Sydney_2016_Sediment_site 1_d,Environment,Sediment,Bleaching,Site_1,D,Temperate,G,x,x,x,x,x,n,n,n,n
210_ITS2,Sydney_2016_Sediment_site 2_a,Environment,Sediment,Bleaching,Site_2,A,Temperate,x,x,x,x,x,x,n,n,n,n
211_ITS2,Sydney_2016_Sediment_site 2_b,Environment,Sediment,Bleaching,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
211_ITS2Re,Sydney_2016_Sediment_site 2_b,Environment,Sediment,Bleaching,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
213_ITS2,Sydney_2016_Sediment_site 2_d,Environment,Sediment,Bleaching,Site_2,D,Temperate,H,x,x,x,x,x,n,n,n,n
213_ITS2Re,Sydney_2016_Sediment_site 2_d,Environment,Sediment,Bleaching,Site_2,D,Temperate,H,x,x,x,x,x,n,n,n,n
214_ITS2,Sydney_2016_Sediment_site 3_a,Environment,Sediment,Bleaching,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
215_ITS2,Sydney_2016_Sediment_site 3_b,Environment,Sediment,Bleaching,Site_3,B,Temperate,x,x,x,x,x,x,n,n,n,n
216_ITS2,Sydney_2016_Sediment_site 3_c,Environment,Sediment,Bleaching,Site_3,C,Temperate,x,x,x,x,x,x,n,n,n,n
217_ITS2,Sydney_2016_Sediment_site 3_d,Environment,Sediment,Bleaching,Site_3,D,Temperate,x,x,x,x,x,x,n,n,n,n
106_ITS2,Sydney_2016_Soft coral (Capnella)_site 2_a,Host,Capnella gaboensis,Bleaching,Site_2,A,Temperate,x,x,x,x,x,x,n,n,n,n
107_ITS2,Sydney_2016_Soft coral (Capnella)_site 2_b,Host,Capnella gaboensis,Bleaching,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
108_ITS2,Sydney_2016_Soft coral (Capnella)_site 2_c,Host,Capnella gaboensis,Bleaching,Site_2,C,Temperate,x,x,x,x,x,x,n,n,n,n
109_ITS2,Sydney_2016_Soft coral (Capnella)_site 2_d,Host,Capnella gaboensis,Bleaching,Site_2,D,Temperate,x,x,x,x,x,x,n,n,n,n
110_ITS2,Sydney_2016_Soft coral (Capnella)_site 3_a,Host,Capnella gaboensis,Bleaching,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
111_ITS2,Sydney_2016_Soft coral (Capnella)_site 3_b,Host,Capnella gaboensis,Bleaching,Site_3,B,Temperate,x,x,x,x,x,x,n,n,n,n
112_ITS2,Sydney_2016_Soft coral (Capnella)_site 3_c,Host,Capnella gaboensis,Bleaching,Site_3,C,Temperate,x,x,x,x,x,x,n,n,n,n
113_ITS2,Sydney_2016_Soft coral (Capnella)_site 3_d,Host,Capnella gaboensis,Bleaching,Site_3,D,Temperate,x,x,x,x,x,x,n,n,n,n
45_ITS2,Sydney_2016_Water_site 1_a,Environment,Water,Bleaching,Site_1,A,Temperate,x,x,x,x,x,x,n,n,n,n
46_ITS2,Sydney_2016_Water_site 1_b,Environment,Water,Bleaching,Site_1,B,Temperate,x,x,x,x,x,x,n,n,n,n
198_ITS2,Sydney_2016_Water_site 1_c,Environment,Water,Bleaching,Site_1,C,Temperate,x,x,x,x,x,x,n,n,n,n
199_ITS2,Sydney_2016_Water_site 1_d,Environment,Water,Bleaching,Site_1,D,Temperate,x,x,x,x,x,x,n,n,n,n
200_ITS2,Sydney_2016_Water_site 2_a,Environment,Water,Bleaching,Site_2,A,Temperate,x,x,x,x,x,x,n,n,n,n
201_ITS2,Sydney_2016_Water_site 2_b,Environment,Water,Bleaching,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
202_ITS2,Sydney_2016_Water_site 2_c,Environment,Water,Bleaching,Site_2,C,Temperate,x,x,x,x,x,x,n,n,n,n
203_ITS2,Sydney_2016_Water_site 2_d,Environment,Water,Bleaching,Site_2,D,Temperate,x,x,x,x,x,x,n,n,n,n
204_ITS2,Sydney_2016_Water_site 3_a,Environment,Water,Bleaching,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
205_ITS2,Sydney_2016_Water_site 3_b,Environment,Water,Bleaching,Site_3,B,Temperate,x,x,x,x,x,x,n,n,n,n
206_ITS2,Sydney_2016_Water_site 3_c,Environment,Water,Bleaching,Site_3,C,Temperate,x,x,x,x,x,x,n,n,n,n
207_ITS2,Sydney_2016_Water_site 3_d,Environment,Water,Bleaching,Site_3,D,Temperate,x,x,x,x,x,x,n,n,n,n
PCR_negative_control_ITS2_E_H15,x,x,x,x,x,x,x,x,x,x,x,x,x,y,n,n,n
PCR_negative_control_ITS2_E_H16,x,x,x,x,x,x,x,x,x,x,x,x,x,y,n,n,n
PCR_negative_control_ITS2_E_S15,x,x,x,x,x,x,x,x,x,x,x,x,x,y,n,n,n
PCR_negative_control_ITS2_E_S16,x,x,x,x,x,x,x,x,x,x,x,x,x,y,n,n,n
PCR_negative_control_ITS2_H_Curtin16,x,x,x,x,x,x,x,x,x,x,x,x,x,y,n,n,n
PCR_negative_control_ITS2_H_H,x,x,x,x,x,x,x,x,x,x,x,x,x,y,n,n,n
PCR_negative_control_ITS2_H_S,x,x,x,x,x,x,x,x,x,x,x,x,x,y,n,n,n
