sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
77443	Heron_2015_Coral_(Pocillopora)_site_3_c	1.5959949937421778	1.355848656975065	0.02514681813805719	1.355848656975065	0.02514681813805719	0.0	0.0	0.0	0.0	1.0	0.00030807740444786753	0	0	0.4193126022913257	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	30.12.15	2
77445	Heron_2016_Coral_(Acropora)_site_1_a	1.7180428776273913	1.4257685447487147	0.03025215961948729	1.4257685447487147	0.03025215961948729	0.0	0.0	0.0	0.0	1.0	0.0004546567341657049	0	0	0.03465883258140104	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	15.03.16	2
77448	Heron_2016_Coral_(Acropora)_site_1_d	1.6754042066103878	1.4268707969666619	0.02790098726570325	1.4268707969666619	0.02790098726570325	0.0	0.0	0.0	0.0	1.0	0.00037201316354270995	0	0	0.037859493489769636	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	15.03.16	2
77447	Heron_2016_Coral_(Acropora)_site_1_c	1.6948859810895465	1.4143028599865344	0.027868036649980974	1.4143028599865344	0.027868036649980974	0.0	0.0	0.0	0.0	1.0	0.0004098240683820731	0	0	0.04306080032785925	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	15.03.16	2
77446	Heron_2016_Coral_(Acropora)_site_1_b	1.7505575023892959	1.3954646818616236	0.02704972631700889	1.3954646818616236	0.02704972631700889	0.0	0.0	0.0	0.0	1.0	0.0004344174462046396	0	0	0.03533261895797735	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	15.03.16	2
77436	Heron_2015_Coral_(Acropora)_site_1_d	1.7391503937285921	1.4284755817648929	0.031639535294325366	1.4284755817648929	0.031639535294325366	0.0	0.0	0.0	0.0	1.0	0.0004943677389738338	0	0	0.04106783431618348	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	30.12.15	2
77435	Heron_2015_Coral_(Acropora)_site_1_c	1.6578990161801772	1.4009675583380763	0.03105943572648183	1.4009675583380763	0.03105943572648183	0.0	0.0	0.0	0.0	1.0	0.0006098056752581511	0	0	0.05045125619969103	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	30.12.15	2
77434	Heron_2015_Coral_(Acropora)_site_1_b	3.3631616709183674	1.4266183035714286	0.03093112244897959	1.4266183035714286	0.03093112244897959	0.0	0.0	0.0	0.0	1.0	0.0005978954081632653	0	0	0.06544961734693877	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	30.12.15	2
77433	Heron_2015_Coral_(Acropora)_site_1_a	2.2205870494314977	1.3277155068139666	0.01983710991049109	1.3274735908394484	0.019756471252318362	0.0	0.0	0.00024191597451818402	8.063865817272801e-05	1.0	0.0008870252399000081	0.000766067252640916	0	0.12535279412950567	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	30.12.15	2
77456	Heron_2016_Coral_(Pocillopora)_site_3_d	2.2668181961675664	1.2961770369668846	0.02629668213530322	1.2961770369668846	0.02629668213530322	0.0	0.0	0.0	0.0	1.0	0.0009154907346023929	0	0	0.20718502383432777	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	15.03.16	2
