sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	452757_A	64887_A	C15	C50b	C42a	C50p	C42.2	C3	C1	C15dq	C15dr	C1b	95462_C	C15ch	91820_C	C1j	91_C	C1au	C50f	C50v	C3bm	18327_C	C115k	29139_C	C21	20926_C	70528_C	4104_C	C3cg	43238_C	C3b	43271_C	43270_C	452755_C	21705_C	118_C	7951_C	20925_C	141_C	C3dt	1932_C	43269_C	32453_C	21767_C	452753_C	451874_C	20938_C	C1h	C15ab	58_C	12_C	20928_C	C45c	8938_C	54_C	95_C	411_C	566_C	452758_C	104_C	90687_C	183_C	133_C	452574_C	C15v	33774_C	85_C	98_C	92122_C	21933_C	20962_C	10941_C	452759_C	92120_C	227_C	19468_C	43285_C	22189_C	9162_C	46_C	20942_C	452437_C	70625_C	452754_C	452756_C	266595_C	354_C	90545_C	20941_C	270451_C	C3.10	C1az	452761_C	21008_C	C50a	8649_C	452752_C	54423_C	90844_C	93081_C	20934_C	43280_C	21719_C	287_C	63457_C	C115d	43281_C	452760_C	92827_C
77450	Heron_2016_Coral_(Montipora)_site_2_b	57991	52249	658	52249	658	0	0	0	0	43645	10	0	0	2716	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	15.03.16	2	0	0	31264	0	0	0	0	0	0	4200	3262	0	0	1872	0	0	0	0	0	0	0	899	0	703	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77452	Heron_2016_Coral_(Montipora)_site_2_d	74723	66230	912	66230	912	0	0	0	0	53572	10	0	0	3464	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	15.03.16	2	0	0	37600	0	0	0	0	0	0	5606	4263	0	0	2249	0	0	0	0	0	0	0	1372	0	851	0	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77439	Heron_2015_Coral_(Montipora)_site_2_c	57244	50658	624	50658	624	0	0	0	0	42091	11	0	0	2837	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	30.12.15	2	0	0	31978	0	0	0	0	0	0	3062	2601	0	0	1323	0	0	0	0	0	0	0	731	0	680	0	0	0	398	0	0	0	0	0	0	0	0	405	0	0	0	289	0	334	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77440	Heron_2015_Coral_(Montipora)_site_2_d	68368	60608	683	60608	683	0	0	0	0	50848	12	0	0	3634	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	30.12.15	2	0	0	38270	0	0	0	0	0	0	3618	3226	0	0	1835	0	0	0	0	0	0	0	744	0	845	0	0	0	426	0	0	0	0	0	0	0	0	580	0	0	0	416	0	381	0	0	242	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77438	Heron_2015_Coral_(Montipora)_site_2_b	59379	50040	645	50040	645	0	0	0	0	41424	12	0	0	3036	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	30.12.15	2	0	0	31104	0	0	0	0	0	0	2903	2599	0	0	1484	0	0	0	0	0	0	0	670	0	671	0	0	0	364	0	0	0	0	0	0	0	0	442	0	0	0	240	0	397	0	0	252	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77449	Heron_2016_Coral_(Montipora)_site_2_a	81653	72047	781	72047	781	0	0	0	0	60219	13	6	0	5063	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	15.03.16	2	0	6	45041	0	0	0	0	0	0	5238	3941	0	0	930	0	0	0	0	0	0	0	1039	0	486	0	0	0	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	1123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	0	0	470	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0
77451	Heron_2016_Coral_(Montipora)_site_2_c	73206	66442	688	66442	688	0	0	0	0	57276	12	0	0	4573	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	15.03.16	2	0	0	42176	0	0	0	0	0	0	4642	3639	0	0	1866	0	0	0	0	0	0	0	992	0	1178	0	0	0	601	0	0	0	0	0	0	0	0	650	0	0	0	369	0	413	0	0	370	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77437	Heron_2015_Coral_(Montipora)_site_2_a	209357	158795	1190	158781	1187	3	1	11	2	137345	13	0	0	13871	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	-23.44382100	151.91436500	30.12.15	2	0	0	97904	0	0	0	0	0	0	11297	8303	0	0	5281	0	0	0	0	0	0	0	2123	0	1978	0	0	0	1254	0	0	0	0	0	0	0	0	1423	0	0	0	769	0	1196	0	0	0	0	0	689	0	0	0	0	3647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77442	Heron_2015_Coral_(Pocillopora)_site_3_b	43153	34004	711	34004	711	0	0	0	0	25595	23	0	0	2382	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	30.12.15	2	0	0	469	0	11334	0	3506	444	3376	0	0	1507	0	0	0	716	393	729	0	0	0	0	456	0	0	0	0	0	315	261	0	272	139	0	252	204	0	0	0	0	0	0	0	144	142	0	0	155	0	0	0	0	206	0	0	0	0	0	0	0	0	0	204	0	0	195	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77453	Heron_2016_Coral_(Pocillopora)_site_3_a	84101	66049	1172	66049	1172	0	0	0	0	48992	22	0	0	6904	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	15.03.16	2	0	0	0	0	20264	0	8214	839	7100	0	0	2157	0	0	0	1356	1957	1036	0	0	0	0	628	0	0	0	0	0	494	476	0	384	470	547	395	416	0	0	0	0	0	0	0	0	272	0	0	0	0	0	307	0	0	0	0	0	701	273	0	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77444	Heron_2015_Coral_(Pocillopora)_site_3_d	60708	50364	991	50364	991	0	0	0	0	37018	18	0	0	6405	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	30.12.15	2	0	0	0	0	18126	0	4443	436	3835	0	0	1360	0	0	0	1300	1284	512	0	0	0	0	375	0	0	0	3022	0	226	368	0	268	393	0	301	0	0	0	0	0	0	0	0	264	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77454	Heron_2016_Coral_(Pocillopora)_site_3_b	79591	67574	1203	67574	1203	0	0	0	0	49880	22	0	0	7181	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	15.03.16	2	0	0	0	0	18794	0	8365	832	7612	0	0	2623	0	0	0	1269	2460	1083	0	0	0	0	968	0	0	0	0	0	581	392	0	456	512	1269	443	416	0	0	0	0	0	0	0	0	0	0	0	294	0	0	289	0	278	0	0	0	270	0	0	387	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77441	Heron_2015_Coral_(Pocillopora)_site_3_a	66459	45845	557	45837	555	4	1	4	1	38279	33	0	0	8748	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	30.12.15	2	0	0	0	0	12531	0	6304	625	4239	0	0	2125	0	0	0	1197	2097	713	0	0	0	0	618	0	0	0	0	0	490	442	0	352	529	967	350	257	0	0	0	0	0	0	0	235	566	0	0	236	0	0	225	0	252	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	192	0	395	0	0	0	0	0	0	0	0	0	0	243	0	236	0	0	0	0	0	0	0	0	209	0	0	0	0	0	203	201	199	196	190
77455	Heron_2016_Coral_(Pocillopora)_site_3_c	86156	73186	1380	73186	1380	0	0	0	0	53666	21	0	0	17298	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	15.03.16	2	0	0	0	0	13585	0	7227	944	6838	0	0	3339	0	0	13496	1680	911	940	0	0	0	0	830	0	0	0	0	0	336	417	0	450	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	332	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	295	0	0	293	0	0	0	0	0	0	0	0	0
77443	Heron_2015_Coral_(Pocillopora)_site_3_c	82888	70416	1306	70416	1306	0	0	0	0	51935	16	0	0	21777	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	damicornis	-23.44382100	151.91436500	30.12.15	2	0	0	0	0	14572	0	4573	809	5092	0	0	2374	16687	0	0	997	0	1215	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	0	0	2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	710	0	0	0	0	591	0	0	0	489	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77445	Heron_2016_Coral_(Acropora)_site_1_a	49124	40767	865	40767	865	0	0	0	0	28593	13	0	0	991	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	15.03.16	2	0	0	0	14669	0	6840	0	3836	0	0	0	0	0	0	0	0	0	0	525	629	399	0	0	0	351	378	0	0	0	0	188	0	0	0	0	0	0	0	231	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77448	Heron_2016_Coral_(Acropora)_site_1_d	58547	49862	975	49862	975	0	0	0	0	34945	13	0	0	1323	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	15.03.16	2	0	0	0	18917	0	6322	0	4600	0	0	0	0	0	0	0	0	0	0	1051	664	921	0	0	0	526	516	0	0	0	0	308	0	0	0	0	0	0	328	0	313	0	0	0	0	0	0	206	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77447	Heron_2016_Coral_(Acropora)_site_1_c	57899	48314	952	48314	952	0	0	0	0	34161	14	0	0	1471	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	15.03.16	2	0	0	0	18102	0	5853	0	4593	0	0	0	0	0	0	0	0	0	0	1264	607	1084	0	0	0	553	551	0	0	0	0	296	0	0	0	0	0	0	269	0	338	0	0	0	0	0	0	222	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77446	Heron_2016_Coral_(Acropora)_site_1_b	60445	48184	934	48184	934	0	0	0	0	34529	15	0	0	1220	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	15.03.16	2	0	0	0	17652	227	5402	0	4269	0	0	0	0	0	0	0	0	0	0	1963	588	1726	0	0	0	461	479	0	0	0	0	332	0	0	0	0	0	0	244	0	491	0	0	0	0	0	0	201	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77436	Heron_2015_Coral_(Acropora)_site_1_d	49251	40453	896	40453	896	0	0	0	0	28319	14	0	0	1163	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	30.12.15	2	0	0	0	13508	0	7213	0	4110	0	0	0	0	0	0	0	0	0	0	455	623	356	0	0	0	478	345	0	0	0	0	228	0	0	0	0	0	0	169	263	185	0	0	0	0	0	0	0	0	0	0	0	188	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77435	Heron_2015_Coral_(Acropora)_site_1_c	40781	34461	764	34461	764	0	0	0	0	24598	15	0	0	1241	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	30.12.15	2	0	0	0	13301	0	4446	0	3381	0	0	0	0	0	0	0	0	0	0	536	479	464	0	0	0	369	371	0	0	0	0	239	0	0	0	0	0	0	225	141	142	0	0	0	0	0	0	159	0	0	190	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77434	Heron_2015_Coral_(Acropora)_site_1_b	84375	35791	776	35791	776	0	0	0	0	25088	15	0	0	1642	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	-23.44382100	151.91436500	30.12.15	2	0	0	0	12457	0	6643	0	3126	0	0	0	0	0	0	0	0	0	0	149	550	0	0	0	0	321	349	0	0	0	0	200	0	0	0	0	0	0	171	325	0	0	0	0	0	0	0	147	0	0	0	0	176	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
