sample_uid	43731	43626	43682	43681	43573
77450	0.9301867338755871	0	0	0	0
77452	0.9280594340327036	0	0	0	0
77439	0.9257085837827564	0	0	0	0
77440	0.9233204845814978	0	0	0	0
77438	0.9195152568559289	0	0	0	0
77449	0.9158239093973662	0	0	0	0
77451	0.9135239891053845	0	0	0	0
77437	0.893989588263133	0	0	0	0
77442	0	0.8270365305723775	0	0	0
77453	0	0.8190520901371653	0	0	0
77444	0	0.7989626668107407	0	0	0
77454	0	0.7968323977546111	0	0	0
77441	0	0.708195093915724	0	0	0
77455	0	0.6262624380427086	0	0	0
77443	0	0.5549821892750554	0	0	0
77445	0	0	0.9244920085335572	0	0
77448	0	0	0.9192731435112319	0	0
77447	0	0	0.9143174965604052	0	0
77446	0	0	0.9123635205189841	0	0
77436	0	0	0.9120025424626576	0	0
77435	0	0	0.905358159199935	0	0
77434	0	0	0	0.8859215561224489	0
77433	0	0	0	0.8129989516974437	0
77456	0	0	0	0	0.6681819616756637
